"Rank_90","Genus","FIS_90","Cumulative_FIS_percent","Selected_Metabolites_90","Median_Bayesian_pvalue_90_selected_edges","FIS_95","Rank_95","FIS_99","Rank_99","Percentile_Rank_90"
65,"Niameybacter",1.2685,50.1,24,0.05216,1.1965,73,0.3333,108,77.62
66,"CAG.882",1.2611,50.61,23,0.05105,1.2611,67,1.5,39,77.27
67,"Oxalobacter",1.2604,51.11,24,0.05438,1.3035,62,2.3333,28,76.92
68,"Coprococcus",1.2267,51.61,24,0.06104,1.2123,72,0.3333,108,76.57
69,"Limadaptatus",1.2235,52.1,23,0.03774,1.7834,38,1.5,39,76.22
70,"Mitsuokella",1.2204,52.59,22,0.06548,0.7095,130,0,120,75.87
71,"Gordonibacter",1.1861,53.07,21,0.07103,1.1012,82,0,120,75.52
72,"CAG.1031",1.1646,53.53,22,0.0455,1.4306,56,0.3333,108,75.17
73,"Porphyromonas",1.161,54,22,0.03441,1.973,33,0.75,75,74.83
74,"Eubacterium_R",1.1348,54.46,20,0.04772,1.1237,80,0,120,74.48
75,"Merdicola",1.1311,54.91,21,0.06659,0.2742,195,0,120,74.13
76,"Cryptobacteroides",1.1183,55.36,20,0.05216,1.088,83,1.3333,47,73.78
